OPERATION_DATE,HOUR_ENDING,INTERVAL_ENDING,TOUTYPE,MARKET,ZONE,PRICE
1/1/2017,100,15,OFF-PEAK,Real Time,Load Zone CPS,24.1
1/1/2017,100,30,OFF-PEAK,Real Time,Load Zone CPS,23.76
1/1/2017,100,45,OFF-PEAK,Real Time,Load Zone CPS,22.87
1/1/2017,100,100,OFF-PEAK,Real Time,Load Zone CPS,22.7
1/1/2017,200,115,OFF-PEAK,Real Time,Load Zone CPS,22.07
1/1/2017,200,130,OFF-PEAK,Real Time,Load Zone CPS,21.87
1/1/2017,200,145,OFF-PEAK,Real Time,Load Zone CPS,20.92
1/1/2017,200,200,OFF-PEAK,Real Time,Load Zone CPS,21
1/1/2017,300,215,OFF-PEAK,Real Time,Load Zone CPS,21.11
1/1/2017,300,230,OFF-PEAK,Real Time,Load Zone CPS,20.94
1/1/2017,300,245,OFF-PEAK,Real Time,Load Zone CPS,20.6
1/1/2017,300,300,OFF-PEAK,Real Time,Load Zone CPS,20.29
1/1/2017,400,315,OFF-PEAK,Real Time,Load Zone CPS,20.23
1/1/2017,400,330,OFF-PEAK,Real Time,Load Zone CPS,20.32
1/1/2017,400,345,OFF-PEAK,Real Time,Load Zone CPS,20.26
1/1/2017,400,400,OFF-PEAK,Real Time,Load Zone CPS,20.27
1/1/2017,500,415,OFF-PEAK,Real Time,Load Zone CPS,20.43
1/1/2017,500,430,OFF-PEAK,Real Time,Load Zone CPS,20.21
1/1/2017,500,445,OFF-PEAK,Real Time,Load Zone CPS,20.04
1/1/2017,500,500,OFF-PEAK,Real Time,Load Zone CPS,19.8
1/1/2017,600,515,OFF-PEAK,Real Time,Load Zone CPS,19.8
1/1/2017,600,530,OFF-PEAK,Real Time,Load Zone CPS,19.8
1/1/2017,600,545,OFF-PEAK,Real Time,Load Zone CPS,19.8
1/1/2017,600,600,OFF-PEAK,Real Time,Load Zone CPS,19.77
1/1/2017,700,615,PEAKWE,Real Time,Load Zone CPS,19.71
1/1/2017,700,630,PEAKWE,Real Time,Load Zone CPS,19.71
1/1/2017,700,645,PEAKWE,Real Time,Load Zone CPS,19.72
1/1/2017,700,700,PEAKWE,Real Time,Load Zone CPS,19.75
1/1/2017,800,715,PEAKWE,Real Time,Load Zone CPS,19.8
1/1/2017,800,730,PEAKWE,Real Time,Load Zone CPS,19.78
1/1/2017,800,745,PEAKWE,Real Time,Load Zone CPS,19.72
1/1/2017,800,800,PEAKWE,Real Time,Load Zone CPS,19.65
1/1/2017,900,815,PEAKWE,Real Time,Load Zone CPS,19.44
1/1/2017,900,830,PEAKWE,Real Time,Load Zone CPS,19.05
1/1/2017,900,845,PEAKWE,Real Time,Load Zone CPS,19.34
1/1/2017,900,900,PEAKWE,Real Time,Load Zone CPS,19.22
1/1/2017,1000,915,PEAKWE,Real Time,Load Zone CPS,19.24
1/1/2017,1000,930,PEAKWE,Real Time,Load Zone CPS,19.85
1/1/2017,1000,945,PEAKWE,Real Time,Load Zone CPS,20.18
1/1/2017,1000,1000,PEAKWE,Real Time,Load Zone CPS,20.18
1/1/2017,1100,1015,PEAKWE,Real Time,Load Zone CPS,20.12
1/1/2017,1100,1030,PEAKWE,Real Time,Load Zone CPS,20.33
1/1/2017,1100,1045,PEAKWE,Real Time,Load Zone CPS,20.44
1/1/2017,1100,1100,PEAKWE,Real Time,Load Zone CPS,20.65
1/1/2017,1200,1115,PEAKWE,Real Time,Load Zone CPS,21.06
1/1/2017,1200,1130,PEAKWE,Real Time,Load Zone CPS,20.66
1/1/2017,1200,1145,PEAKWE,Real Time,Load Zone CPS,20.45
1/1/2017,1200,1200,PEAKWE,Real Time,Load Zone CPS,20.2
1/1/2017,1300,1215,PEAKWE,Real Time,Load Zone CPS,20.13
1/1/2017,1300,1230,PEAKWE,Real Time,Load Zone CPS,19.99
1/1/2017,1300,1245,PEAKWE,Real Time,Load Zone CPS,19.9
1/1/2017,1300,1300,PEAKWE,Real Time,Load Zone CPS,19.82
1/1/2017,1400,1315,PEAKWE,Real Time,Load Zone CPS,19.82
1/1/2017,1400,1330,PEAKWE,Real Time,Load Zone CPS,19.8
1/1/2017,1400,1345,PEAKWE,Real Time,Load Zone CPS,19.73
1/1/2017,1400,1400,PEAKWE,Real Time,Load Zone CPS,19.69
1/1/2017,1500,1415,PEAKWE,Real Time,Load Zone CPS,19.6
1/1/2017,1500,1430,PEAKWE,Real Time,Load Zone CPS,19.59
1/1/2017,1500,1445,PEAKWE,Real Time,Load Zone CPS,19.54
1/1/2017,1500,1500,PEAKWE,Real Time,Load Zone CPS,19.51
1/1/2017,1600,1515,PEAKWE,Real Time,Load Zone CPS,19.41
1/1/2017,1600,1530,PEAKWE,Real Time,Load Zone CPS,19.55
1/1/2017,1600,1545,PEAKWE,Real Time,Load Zone CPS,19.57
1/1/2017,1600,1600,PEAKWE,Real Time,Load Zone CPS,19.02
1/1/2017,1700,1615,PEAKWE,Real Time,Load Zone CPS,19.23
1/1/2017,1700,1630,PEAKWE,Real Time,Load Zone CPS,19.5
1/1/2017,1700,1645,PEAKWE,Real Time,Load Zone CPS,19.48
1/1/2017,1700,1700,PEAKWE,Real Time,Load Zone CPS,19.64
1/1/2017,1800,1715,PEAKWE,Real Time,Load Zone CPS,19.73
1/1/2017,1800,1730,PEAKWE,Real Time,Load Zone CPS,19.91
1/1/2017,1800,1745,PEAKWE,Real Time,Load Zone CPS,20.2
1/1/2017,1800,1800,PEAKWE,Real Time,Load Zone CPS,20.6
1/1/2017,1900,1815,PEAKWE,Real Time,Load Zone CPS,20.61
1/1/2017,1900,1830,PEAKWE,Real Time,Load Zone CPS,20.09
1/1/2017,1900,1845,PEAKWE,Real Time,Load Zone CPS,19.83
1/1/2017,1900,1900,PEAKWE,Real Time,Load Zone CPS,19.69
1/1/2017,2000,1915,PEAKWE,Real Time,Load Zone CPS,19.63
1/1/2017,2000,1930,PEAKWE,Real Time,Load Zone CPS,19.59
1/1/2017,2000,1945,PEAKWE,Real Time,Load Zone CPS,19.48
1/1/2017,2000,2000,PEAKWE,Real Time,Load Zone CPS,19.05
1/1/2017,2100,2015,PEAKWE,Real Time,Load Zone CPS,19.37
1/1/2017,2100,2030,PEAKWE,Real Time,Load Zone CPS,19.41
1/1/2017,2100,2045,PEAKWE,Real Time,Load Zone CPS,18.86
1/1/2017,2100,2100,PEAKWE,Real Time,Load Zone CPS,18.25
1/1/2017,2200,2115,PEAKWE,Real Time,Load Zone CPS,18.06
1/1/2017,2200,2130,PEAKWE,Real Time,Load Zone CPS,18.48
1/1/2017,2200,2145,PEAKWE,Real Time,Load Zone CPS,18.32
1/1/2017,2200,2200,PEAKWE,Real Time,Load Zone CPS,18.1
1/1/2017,2300,2215,OFF-PEAK,Real Time,Load Zone CPS,18.54
1/1/2017,2300,2230,OFF-PEAK,Real Time,Load Zone CPS,16.96
1/1/2017,2300,2245,OFF-PEAK,Real Time,Load Zone CPS,2.18
1/1/2017,2300,2300,OFF-PEAK,Real Time,Load Zone CPS,3.79
1/1/2017,2400,2315,OFF-PEAK,Real Time,Load Zone CPS,16.8
1/1/2017,2400,2330,OFF-PEAK,Real Time,Load Zone CPS,0.57
1/1/2017,2400,2345,OFF-PEAK,Real Time,Load Zone CPS,0
1/1/2017,2400,2400,OFF-PEAK,Real Time,Load Zone CPS,7.26
1/2/2017,100,15,OFF-PEAK,Real Time,Load Zone CPS,17.01
1/2/2017,100,30,OFF-PEAK,Real Time,Load Zone CPS,18.3
1/2/2017,100,45,OFF-PEAK,Real Time,Load Zone CPS,17.59
1/2/2017,100,100,OFF-PEAK,Real Time,Load Zone CPS,17.2
1/2/2017,200,115,OFF-PEAK,Real Time,Load Zone CPS,16.82
1/2/2017,200,130,OFF-PEAK,Real Time,Load Zone CPS,17.02
1/2/2017,200,145,OFF-PEAK,Real Time,Load Zone CPS,16.5
1/2/2017,200,200,OFF-PEAK,Real Time,Load Zone CPS,16.84
1/2/2017,300,215,OFF-PEAK,Real Time,Load Zone CPS,16.83
1/2/2017,300,230,OFF-PEAK,Real Time,Load Zone CPS,17.11
1/2/2017,300,245,OFF-PEAK,Real Time,Load Zone CPS,17.31
1/2/2017,300,300,OFF-PEAK,Real Time,Load Zone CPS,16.39
1/2/2017,400,315,OFF-PEAK,Real Time,Load Zone CPS,8.11
1/2/2017,400,330,OFF-PEAK,Real Time,Load Zone CPS,3.89
1/2/2017,400,345,OFF-PEAK,Real Time,Load Zone CPS,1.09
1/2/2017,400,400,OFF-PEAK,Real Time,Load Zone CPS,2.31
1/2/2017,500,415,OFF-PEAK,Real Time,Load Zone CPS,1.82
1/2/2017,500,430,OFF-PEAK,Real Time,Load Zone CPS,5.4
1/2/2017,500,445,OFF-PEAK,Real Time,Load Zone CPS,15.66
1/2/2017,500,500,OFF-PEAK,Real Time,Load Zone CPS,16.67
1/2/2017,600,515,OFF-PEAK,Real Time,Load Zone CPS,15.19
1/2/2017,600,530,OFF-PEAK,Real Time,Load Zone CPS,0.29
1/2/2017,600,545,OFF-PEAK,Real Time,Load Zone CPS,11.07
1/2/2017,600,600,OFF-PEAK,Real Time,Load Zone CPS,16.18
1/2/2017,700,615,PEAKWD,Real Time,Load Zone CPS,16.95
1/2/2017,700,630,PEAKWD,Real Time,Load Zone CPS,17.58
1/2/2017,700,645,PEAKWD,Real Time,Load Zone CPS,16.84
1/2/2017,700,700,PEAKWD,Real Time,Load Zone CPS,17.39
1/2/2017,800,715,PEAKWD,Real Time,Load Zone CPS,18.48
1/2/2017,800,730,PEAKWD,Real Time,Load Zone CPS,18.02
1/2/2017,800,745,PEAKWD,Real Time,Load Zone CPS,18.23
1/2/2017,800,800,PEAKWD,Real Time,Load Zone CPS,17.93
1/2/2017,900,815,PEAKWD,Real Time,Load Zone CPS,17.89
1/2/2017,900,830,PEAKWD,Real Time,Load Zone CPS,18.09
1/2/2017,900,845,PEAKWD,Real Time,Load Zone CPS,18.87
1/2/2017,900,900,PEAKWD,Real Time,Load Zone CPS,19.21
1/2/2017,1000,915,PEAKWD,Real Time,Load Zone CPS,19.08
1/2/2017,1000,930,PEAKWD,Real Time,Load Zone CPS,19.36
1/2/2017,1000,945,PEAKWD,Real Time,Load Zone CPS,19.72
1/2/2017,1000,1000,PEAKWD,Real Time,Load Zone CPS,19.68
1/2/2017,1100,1015,PEAKWD,Real Time,Load Zone CPS,19.84
1/2/2017,1100,1030,PEAKWD,Real Time,Load Zone CPS,19.8
1/2/2017,1100,1045,PEAKWD,Real Time,Load Zone CPS,19.82
1/2/2017,1100,1100,PEAKWD,Real Time,Load Zone CPS,19.77
1/2/2017,1200,1115,PEAKWD,Real Time,Load Zone CPS,19.76
1/2/2017,1200,1130,PEAKWD,Real Time,Load Zone CPS,19.79
1/2/2017,1200,1145,PEAKWD,Real Time,Load Zone CPS,19.86
1/2/2017,1200,1200,PEAKWD,Real Time,Load Zone CPS,19.89
1/2/2017,1300,1215,PEAKWD,Real Time,Load Zone CPS,19.78
1/2/2017,1300,1230,PEAKWD,Real Time,Load Zone CPS,19.89
1/2/2017,1300,1245,PEAKWD,Real Time,Load Zone CPS,20.03
1/2/2017,1300,1300,PEAKWD,Real Time,Load Zone CPS,20.04
1/2/2017,1400,1315,PEAKWD,Real Time,Load Zone CPS,19.84
1/2/2017,1400,1330,PEAKWD,Real Time,Load Zone CPS,19.86
1/2/2017,1400,1345,PEAKWD,Real Time,Load Zone CPS,19.8
1/2/2017,1400,1400,PEAKWD,Real Time,Load Zone CPS,19.89
1/2/2017,1500,1415,PEAKWD,Real Time,Load Zone CPS,19.93
1/2/2017,1500,1430,PEAKWD,Real Time,Load Zone CPS,19.94
1/2/2017,1500,1445,PEAKWD,Real Time,Load Zone CPS,20.23
1/2/2017,1500,1500,PEAKWD,Real Time,Load Zone CPS,20.29
1/2/2017,1600,1515,PEAKWD,Real Time,Load Zone CPS,20.63
1/2/2017,1600,1530,PEAKWD,Real Time,Load Zone CPS,20.98
1/2/2017,1600,1545,PEAKWD,Real Time,Load Zone CPS,21.46
1/2/2017,1600,1600,PEAKWD,Real Time,Load Zone CPS,21.54
1/2/2017,1700,1615,PEAKWD,Real Time,Load Zone CPS,21.62
1/2/2017,1700,1630,PEAKWD,Real Time,Load Zone CPS,21.8
1/2/2017,1700,1645,PEAKWD,Real Time,Load Zone CPS,22.09
1/2/2017,1700,1700,PEAKWD,Real Time,Load Zone CPS,22.42
1/2/2017,1800,1715,PEAKWD,Real Time,Load Zone CPS,22.66
1/2/2017,1800,1730,PEAKWD,Real Time,Load Zone CPS,30.36
1/2/2017,1800,1745,PEAKWD,Real Time,Load Zone CPS,183.26
1/2/2017,1800,1800,PEAKWD,Real Time,Load Zone CPS,29.05
1/2/2017,1900,1815,PEAKWD,Real Time,Load Zone CPS,28.13
1/2/2017,1900,1830,PEAKWD,Real Time,Load Zone CPS,24.52
1/2/2017,1900,1845,PEAKWD,Real Time,Load Zone CPS,23.05
1/2/2017,1900,1900,PEAKWD,Real Time,Load Zone CPS,22.3
1/2/2017,2000,1915,PEAKWD,Real Time,Load Zone CPS,22.31
1/2/2017,2000,1930,PEAKWD,Real Time,Load Zone CPS,22.01
1/2/2017,2000,1945,PEAKWD,Real Time,Load Zone CPS,21.51
1/2/2017,2000,2000,PEAKWD,Real Time,Load Zone CPS,21.2
1/2/2017,2100,2015,PEAKWD,Real Time,Load Zone CPS,21
1/2/2017,2100,2030,PEAKWD,Real Time,Load Zone CPS,20.9
1/2/2017,2100,2045,PEAKWD,Real Time,Load Zone CPS,21.14
1/2/2017,2100,2100,PEAKWD,Real Time,Load Zone CPS,20.49
1/2/2017,2200,2115,PEAKWD,Real Time,Load Zone CPS,20.17
1/2/2017,2200,2130,PEAKWD,Real Time,Load Zone CPS,20.18
1/2/2017,2200,2145,PEAKWD,Real Time,Load Zone CPS,20.01
1/2/2017,2200,2200,PEAKWD,Real Time,Load Zone CPS,19.73
1/2/2017,2300,2215,OFF-PEAK,Real Time,Load Zone CPS,19.71
1/2/2017,2300,2230,OFF-PEAK,Real Time,Load Zone CPS,19.59
1/2/2017,2300,2245,OFF-PEAK,Real Time,Load Zone CPS,19.33
1/2/2017,2300,2300,OFF-PEAK,Real Time,Load Zone CPS,19.18
1/2/2017,2400,2315,OFF-PEAK,Real Time,Load Zone CPS,18.64
1/2/2017,2400,2330,OFF-PEAK,Real Time,Load Zone CPS,18.32
1/2/2017,2400,2345,OFF-PEAK,Real Time,Load Zone CPS,17.66
1/2/2017,2400,2400,OFF-PEAK,Real Time,Load Zone CPS,17.63
1/3/2017,100,15,OFF-PEAK,Real Time,Load Zone CPS,17.55
1/3/2017,100,30,OFF-PEAK,Real Time,Load Zone CPS,12.36
1/3/2017,100,45,OFF-PEAK,Real Time,Load Zone CPS,10.71
1/3/2017,100,100,OFF-PEAK,Real Time,Load Zone CPS,16.74
1/3/2017,200,115,OFF-PEAK,Real Time,Load Zone CPS,16.14
1/3/2017,200,130,OFF-PEAK,Real Time,Load Zone CPS,16.78
1/3/2017,200,145,OFF-PEAK,Real Time,Load Zone CPS,17.95
1/3/2017,200,200,OFF-PEAK,Real Time,Load Zone CPS,16.75
1/3/2017,300,215,OFF-PEAK,Real Time,Load Zone CPS,9.19
1/3/2017,300,230,OFF-PEAK,Real Time,Load Zone CPS,14.45
1/3/2017,300,245,OFF-PEAK,Real Time,Load Zone CPS,6.2
1/3/2017,300,300,OFF-PEAK,Real Time,Load Zone CPS,5.05
1/3/2017,400,315,OFF-PEAK,Real Time,Load Zone CPS,7.19
1/3/2017,400,330,OFF-PEAK,Real Time,Load Zone CPS,12.86
1/3/2017,400,345,OFF-PEAK,Real Time,Load Zone CPS,16.76
1/3/2017,400,400,OFF-PEAK,Real Time,Load Zone CPS,17.39
1/3/2017,500,415,OFF-PEAK,Real Time,Load Zone CPS,18.04
1/3/2017,500,430,OFF-PEAK,Real Time,Load Zone CPS,18.08
1/3/2017,500,445,OFF-PEAK,Real Time,Load Zone CPS,18.53
1/3/2017,500,500,OFF-PEAK,Real Time,Load Zone CPS,18.64
1/3/2017,600,515,OFF-PEAK,Real Time,Load Zone CPS,18.9
1/3/2017,600,530,OFF-PEAK,Real Time,Load Zone CPS,19.39
1/3/2017,600,545,OFF-PEAK,Real Time,Load Zone CPS,19.69
1/3/2017,600,600,OFF-PEAK,Real Time,Load Zone CPS,19.63
1/3/2017,700,615,PEAKWD,Real Time,Load Zone CPS,21.28
1/3/2017,700,630,PEAKWD,Real Time,Load Zone CPS,21.54
1/3/2017,700,645,PEAKWD,Real Time,Load Zone CPS,22.08
1/3/2017,700,700,PEAKWD,Real Time,Load Zone CPS,23.42
1/3/2017,800,715,PEAKWD,Real Time,Load Zone CPS,23.31
1/3/2017,800,730,PEAKWD,Real Time,Load Zone CPS,33.72
1/3/2017,800,745,PEAKWD,Real Time,Load Zone CPS,39.9
1/3/2017,800,800,PEAKWD,Real Time,Load Zone CPS,39.36
1/3/2017,900,815,PEAKWD,Real Time,Load Zone CPS,38.42
1/3/2017,900,830,PEAKWD,Real Time,Load Zone CPS,43.07
1/3/2017,900,845,PEAKWD,Real Time,Load Zone CPS,24.21
1/3/2017,900,900,PEAKWD,Real Time,Load Zone CPS,20.58
1/3/2017,1000,915,PEAKWD,Real Time,Load Zone CPS,26.17
1/3/2017,1000,930,PEAKWD,Real Time,Load Zone CPS,20.51
1/3/2017,1000,945,PEAKWD,Real Time,Load Zone CPS,20.65
1/3/2017,1000,1000,PEAKWD,Real Time,Load Zone CPS,20.58
1/3/2017,1100,1015,PEAKWD,Real Time,Load Zone CPS,21.14
1/3/2017,1100,1030,PEAKWD,Real Time,Load Zone CPS,21.38
1/3/2017,1100,1045,PEAKWD,Real Time,Load Zone CPS,21.37
1/3/2017,1100,1100,PEAKWD,Real Time,Load Zone CPS,21.91
1/3/2017,1200,1115,PEAKWD,Real Time,Load Zone CPS,27.37
1/3/2017,1200,1130,PEAKWD,Real Time,Load Zone CPS,39.99
1/3/2017,1200,1145,PEAKWD,Real Time,Load Zone CPS,40.28
1/3/2017,1200,1200,PEAKWD,Real Time,Load Zone CPS,36.42
1/3/2017,1300,1215,PEAKWD,Real Time,Load Zone CPS,30.62
1/3/2017,1300,1230,PEAKWD,Real Time,Load Zone CPS,32.81
1/3/2017,1300,1245,PEAKWD,Real Time,Load Zone CPS,37.85
1/3/2017,1300,1300,PEAKWD,Real Time,Load Zone CPS,40.85
1/3/2017,1400,1315,PEAKWD,Real Time,Load Zone CPS,46.71
1/3/2017,1400,1330,PEAKWD,Real Time,Load Zone CPS,44.87
1/3/2017,1400,1345,PEAKWD,Real Time,Load Zone CPS,43.88
1/3/2017,1400,1400,PEAKWD,Real Time,Load Zone CPS,46.19
1/3/2017,1500,1415,PEAKWD,Real Time,Load Zone CPS,28.64
1/3/2017,1500,1430,PEAKWD,Real Time,Load Zone CPS,49.54
1/3/2017,1500,1445,PEAKWD,Real Time,Load Zone CPS,47.04
1/3/2017,1500,1500,PEAKWD,Real Time,Load Zone CPS,42.18
1/3/2017,1600,1515,PEAKWD,Real Time,Load Zone CPS,38.32
1/3/2017,1600,1530,PEAKWD,Real Time,Load Zone CPS,28.74
1/3/2017,1600,1545,PEAKWD,Real Time,Load Zone CPS,26.89
1/3/2017,1600,1600,PEAKWD,Real Time,Load Zone CPS,52.38
1/3/2017,1700,1615,PEAKWD,Real Time,Load Zone CPS,46.13
1/3/2017,1700,1630,PEAKWD,Real Time,Load Zone CPS,29.1
1/3/2017,1700,1645,PEAKWD,Real Time,Load Zone CPS,28.42
1/3/2017,1700,1700,PEAKWD,Real Time,Load Zone CPS,30.6
1/3/2017,1800,1715,PEAKWD,Real Time,Load Zone CPS,27.17
1/3/2017,1800,1730,PEAKWD,Real Time,Load Zone CPS,272.19
1/3/2017,1800,1745,PEAKWD,Real Time,Load Zone CPS,203.95
1/3/2017,1800,1800,PEAKWD,Real Time,Load Zone CPS,548.21
1/3/2017,1900,1815,PEAKWD,Real Time,Load Zone CPS,111.15
1/3/2017,1900,1830,PEAKWD,Real Time,Load Zone CPS,34.9
1/3/2017,1900,1845,PEAKWD,Real Time,Load Zone CPS,30.73
1/3/2017,1900,1900,PEAKWD,Real Time,Load Zone CPS,30.68
1/3/2017,2000,1915,PEAKWD,Real Time,Load Zone CPS,30.26
1/3/2017,2000,1930,PEAKWD,Real Time,Load Zone CPS,28.61
1/3/2017,2000,1945,PEAKWD,Real Time,Load Zone CPS,27.2
1/3/2017,2000,2000,PEAKWD,Real Time,Load Zone CPS,26.72
1/3/2017,2100,2015,PEAKWD,Real Time,Load Zone CPS,154.1
1/3/2017,2100,2030,PEAKWD,Real Time,Load Zone CPS,26.62
1/3/2017,2100,2045,PEAKWD,Real Time,Load Zone CPS,265.79
1/3/2017,2100,2100,PEAKWD,Real Time,Load Zone CPS,46.26
1/3/2017,2200,2115,PEAKWD,Real Time,Load Zone CPS,27.28
1/3/2017,2200,2130,PEAKWD,Real Time,Load Zone CPS,26.58
1/3/2017,2200,2145,PEAKWD,Real Time,Load Zone CPS,26.04
1/3/2017,2200,2200,PEAKWD,Real Time,Load Zone CPS,24.73
1/3/2017,2300,2215,OFF-PEAK,Real Time,Load Zone CPS,23.71
1/3/2017,2300,2230,OFF-PEAK,Real Time,Load Zone CPS,23.13
1/3/2017,2300,2245,OFF-PEAK,Real Time,Load Zone CPS,23.25
1/3/2017,2300,2300,OFF-PEAK,Real Time,Load Zone CPS,33.56
1/3/2017,2400,2315,OFF-PEAK,Real Time,Load Zone CPS,63.89
1/3/2017,2400,2330,OFF-PEAK,Real Time,Load Zone CPS,26.86
1/3/2017,2400,2345,OFF-PEAK,Real Time,Load Zone CPS,26.69
1/3/2017,2400,2400,OFF-PEAK,Real Time,Load Zone CPS,28.38
1/4/2017,100,15,OFF-PEAK,Real Time,Load Zone CPS,29.38
1/4/2017,100,30,OFF-PEAK,Real Time,Load Zone CPS,272.61
1/4/2017,100,45,OFF-PEAK,Real Time,Load Zone CPS,38.13
1/4/2017,100,100,OFF-PEAK,Real Time,Load Zone CPS,29.92
1/4/2017,200,115,OFF-PEAK,Real Time,Load Zone CPS,27.68
1/4/2017,200,130,OFF-PEAK,Real Time,Load Zone CPS,26.84
1/4/2017,200,145,OFF-PEAK,Real Time,Load Zone CPS,27.17
1/4/2017,200,200,OFF-PEAK,Real Time,Load Zone CPS,30.54
1/4/2017,300,215,OFF-PEAK,Real Time,Load Zone CPS,36.27
1/4/2017,300,230,OFF-PEAK,Real Time,Load Zone CPS,27.59
1/4/2017,300,245,OFF-PEAK,Real Time,Load Zone CPS,24.55
1/4/2017,300,300,OFF-PEAK,Real Time,Load Zone CPS,23.38
1/4/2017,400,315,OFF-PEAK,Real Time,Load Zone CPS,25.3
1/4/2017,400,330,OFF-PEAK,Real Time,Load Zone CPS,27.59
1/4/2017,400,345,OFF-PEAK,Real Time,Load Zone CPS,29.13
1/4/2017,400,400,OFF-PEAK,Real Time,Load Zone CPS,23.71
